,country,points,price,variety,millesime
711,US,91,29.0,Sauvignon Blanc,2019.0
712,US,91,40.0,Pinot Noir,2019.0
713,US,91,33.0,Pinot Noir,2019.0
715,Argentina,91,36.0,Red Blend,2016.0
717,France,91,28.0,Rosé,2020.0
719,France,85,13.0,Chardonnay,2021.0
720,Portugal,85,15.0,Rosé,2021.0
721,Argentina,85,13.0,Cabernet Sauvignon,2021.0
726,Portugal,85,11.0,Rosé,2021.0
727,US,85,13.0,Pinot Noir,2020.0
730,US,85,16.0,Cabernet Sauvignon,2019.0
731,France,85,12.0,Chardonnay,2020.0
732,France,85,17.0,Pinot Noir,2020.0
733,France,85,24.0,Pinot Noir,2020.0
737,Portugal,85,12.0,Rosé,2021.0
742,France,85,16.0,Chardonnay,2020.0
747,US,87,31.0,Pinot Noir,2013.0
749,France,87,20.0,Riesling,2015.0
750,US,87,46.0,Pinot Noir,2014.0
751,Chile,87,20.0,Sauvignon Blanc,2016.0
753,US,87,28.0,Chardonnay,2014.0
757,US,87,37.0,Pinot Noir,2015.0
758,US,87,37.0,Pinot Noir,2014.0
759,US,87,73.0,Syrah,2012.0
760,US,87,33.0,Syrah,2014.0
764,US,87,48.0,Syrah,2013.0
765,US,87,36.0,Red Blend,2014.0
766,Australia,87,25.0,Pinot Noir,2014.0
768,Australia,87,20.0,Cabernet Sauvignon,2014.0
774,US,92,64.0,Pinot Noir,2016.0
775,US,92,50.0,Pinot Noir,2016.0
776,France,92,88.0,Chardonnay,2011.0
778,US,92,86.0,Pinot Noir,2016.0
781,Italy,92,121.0,Chardonnay,2007.0
785,Argentina,90,30.0,Red Blend,2018.0
787,US,90,72.0,Cabernet Sauvignon,2019.0
788,Argentina,90,31.0,Chardonnay,2021.0
789,Germany,90,26.0,Riesling,2021.0
790,US,90,23.0,Cabernet Sauvignon,2020.0
791,US,90,54.0,Pinot Noir,2019.0
792,France,90,32.0,Bordeaux-style Red Blend,2018.0
793,US,90,34.0,Red Blend,2018.0
795,France,90,30.0,Bordeaux-style Red Blend,2020.0
796,France,90,34.0,Bordeaux-style Red Blend,2020.0
797,France,90,24.0,Bordeaux-style Red Blend,2020.0
798,France,90,23.0,Bordeaux-style Red Blend,2020.0
799,France,90,40.0,Bordeaux-style Red Blend,2018.0
800,US,90,24.0,Cabernet Sauvignon,2020.0
803,US,90,34.0,Merlot,2019.0
804,US,90,30.0,Chardonnay,2020.0
805,US,90,24.0,Riesling,2018.0
806,US,90,27.0,Chardonnay,2020.0
807,Australia,90,46.0,Chardonnay,2019.0
810,US,90,72.0,Cabernet Sauvignon,2019.0
812,US,90,35.0,Syrah,2019.0
813,Australia,90,27.0,Red Blend,2019.0
815,US,86,18.0,Sauvignon Blanc,2019.0
817,Chile,86,16.0,Merlot,2018.0
824,US,86,16.0,Merlot,2016.0
827,Chile,86,16.0,Merlot,2018.0
830,France,86,17.0,Chardonnay,2019.0
834,Chile,86,15.0,Cabernet Sauvignon,2018.0
838,US,86,30.0,Syrah,2017.0
839,US,86,19.0,Riesling,2019.0
841,US,86,15.0,Chardonnay,2019.0
847,France,90,34.0,Pinot Noir,2018.0
849,France,90,43.0,Pinot Noir,2020.0
850,France,90,61.0,Chardonnay,2020.0
853,Germany,90,28.0,Riesling,2020.0
855,US,90,32.0,Chardonnay,2019.0
857,US,90,29.0,Syrah,2019.0
859,US,90,92.0,Cabernet Sauvignon,2018.0
863,US,90,40.0,Pinot Noir,2018.0
866,Australia,90,26.0,Rosé,2020.0
867,US,90,34.0,Pinot Noir,2019.0
870,US,90,30.0,Syrah,2019.0
871,US,90,35.0,Merlot,2019.0
876,Spain,90,58.0,Red Blend,2013.0
878,France,90,41.0,Bordeaux-style Red Blend,2015.0
879,France,90,48.0,Bordeaux-style Red Blend,2015.0
880,US,90,32.0,Syrah,2014.0
881,Spain,90,50.0,Red Blend,2014.0
882,US,90,32.0,Cabernet Sauvignon,2015.0
889,US,90,47.0,Pinot Noir,2015.0
891,US,90,37.0,Pinot Noir,2015.0
892,US,90,60.0,Bordeaux-style Red Blend,2014.0
895,Italy,90,56.0,Red Blend,2012.0
896,US,90,74.0,Syrah,2013.0
897,US,90,46.0,Syrah,2014.0
900,Spain,90,56.0,Red Blend,2013.0
903,Germany,87,16.0,Riesling,2020.0
910,Argentina,87,29.0,Bordeaux-style Red Blend,2017.0
912,US,87,18.0,Rosé,2021.0
915,US,87,21.0,Pinot Noir,2020.0
922,Argentina,87,16.0,Sauvignon Blanc,2021.0
924,Australia,87,19.0,Sauvignon Blanc,2020.0
932,France,87,17.0,Bordeaux-style Red Blend,2020.0
933,France,87,18.0,Bordeaux-style Red Blend,2020.0
934,France,87,18.0,Bordeaux-style Red Blend,2020.0
935,France,87,17.0,Bordeaux-style Red Blend,2020.0
936,US,87,29.0,Chardonnay,2019.0
939,US,87,36.0,Bordeaux-style Red Blend,2019.0
942,US,87,25.0,Pinot Noir,2020.0
945,US,87,18.0,Chardonnay,2020.0
950,US,87,27.0,Chardonnay,2020.0
953,US,87,31.0,Pinot Noir,2018.0
954,US,87,18.0,Cabernet Sauvignon,2020.0
957,US,87,19.0,Sauvignon Blanc,2021.0
958,Spain,87,18.0,Rosé,2021.0
960,France,87,19.0,Bordeaux-style Red Blend,2020.0
961,France,87,19.0,Bordeaux-style Red Blend,2020.0
963,France,85,18.0,Bordeaux-style Red Blend,2012.0
967,Chile,85,16.0,Chardonnay,2014.0
970,US,85,25.0,Cabernet Sauvignon,2012.0
973,US,85,39.0,Syrah,2012.0
974,US,85,35.0,Red Blend,2012.0
975,Italy,85,18.0,Pinot Noir,2014.0
979,France,85,16.0,Sauvignon Blanc,2014.0
981,France,85,17.0,Sauvignon Blanc,2013.0
982,Italy,85,24.0,Cabernet Sauvignon,2011.0
985,Argentina,88,30.0,Cabernet Sauvignon,2013.0
990,US,88,23.0,Sauvignon Blanc,2013.0
992,France,88,26.0,Red Blend,2012.0
994,France,88,33.0,Sauvignon Blanc,2012.0
996,Italy,88,26.0,Syrah,2012.0
999,US,88,28.0,Riesling,2012.0
1000,US,88,35.0,Cabernet Sauvignon,2012.0
1002,US,88,66.0,Pinot Noir,2012.0
1003,France,88,41.0,Bordeaux-style Red Blend,2009.0
1005,France,88,27.0,Sauvignon Blanc,2013.0
1006,US,88,49.0,Pinot Noir,2012.0
1007,France,88,32.0,Sauvignon Blanc,2012.0
1009,Chile,88,29.0,Cabernet Sauvignon,2012.0
1010,US,88,84.0,Pinot Noir,2011.0
1015,US,88,44.0,Red Blend,2016.0
1019,US,88,84.0,Bordeaux-style Red Blend,2017.0
1025,US,88,35.0,Sauvignon Blanc,2018.0
1030,US,88,44.0,Chardonnay,2018.0
1033,US,88,23.0,Chardonnay,2019.0
1037,US,88,28.0,Syrah,2018.0
1042,Spain,85,24.0,Red Blend,2009.0
1045,US,85,30.0,Pinot Noir,2012.0
1047,US,85,24.0,Merlot,2010.0
1050,US,85,17.0,Merlot,2012.0
1057,Chile,85,18.0,Red Blend,2012.0
1058,US,85,24.0,Syrah,2010.0
1061,France,85,29.0,Red Blend,2013.0
1067,US,94,34.0,Pinot Noir,2021.0
1068,US,94,61.0,Pinot Noir,2020.0
1069,US,94,53.0,Pinot Noir,2021.0
1070,US,94,43.0,Pinot Noir,2021.0
1075,US,94,40.0,Chardonnay,2021.0
1076,France,94,66.0,Pinot Noir,2020.0
1078,US,94,35.0,Chardonnay,2021.0
1079,US,94,50.0,Chardonnay,2021.0
1080,US,94,32.0,Riesling,2022.0
1081,US,94,32.0,Riesling,2022.0
1082,US,94,69.0,Syrah,2020.0
1086,US,94,32.0,Riesling,2022.0
1087,US,94,42.0,Pinot Noir,2021.0
1088,US,94,56.0,Syrah,2020.0
1091,US,94,52.0,Pinot Noir,2020.0
1092,US,94,43.0,Pinot Noir,2020.0
1093,France,94,43.0,Pinot Noir,2021.0
1094,US,94,46.0,Pinot Noir,2020.0
1095,US,90,33.0,Cabernet Sauvignon,2017.0
1096,Chile,90,30.0,Red Blend,2018.0
1098,US,90,25.0,Chardonnay,2019.0
1100,Chile,90,43.0,Red Blend,2014.0
1102,US,90,40.0,Chardonnay,2018.0
1103,US,90,23.0,Sauvignon Blanc,2019.0
1104,France,90,24.0,Syrah,2018.0
1109,Italy,90,78.0,Red Blend,2012.0
1113,US,90,24.0,Sauvignon Blanc,2019.0
1116,US,90,23.0,Merlot,2016.0
1118,Italy,90,26.0,Red Blend,2018.0
1122,US,84,13.0,Riesling,2020.0
1124,US,84,14.0,Red Blend,2020.0
1125,US,84,23.0,Pinot Noir,2019.0
1126,France,84,16.0,Bordeaux-style Red Blend,2019.0
1127,France,84,15.0,Bordeaux-style Red Blend,2019.0
1130,US,84,43.0,Cabernet Sauvignon,2017.0
1132,France,84,12.0,Bordeaux-style Red Blend,2020.0
1133,France,84,17.0,Bordeaux-style Red Blend,2018.0
1134,France,84,13.0,Bordeaux-style Red Blend,2019.0
1135,Chile,84,10.0,Sauvignon Blanc,2021.0
1136,US,84,20.0,Red Blend,2018.0
1139,US,84,57.0,Cabernet Sauvignon,2018.0
1140,US,84,18.0,Chardonnay,2019.0
1141,Chile,84,14.0,Chardonnay,2020.0
1142,US,84,13.0,Chardonnay,2018.0
1145,France,83,10.0,Bordeaux-style Red Blend,2020.0
1147,US,83,13.0,Merlot,2019.0
1149,France,83,18.0,Bordeaux-style Red Blend,2019.0
1152,US,87,36.0,Red Blend,2010.0
1165,US,86,32.0,Cabernet Sauvignon,2011.0
1166,US,86,28.0,Merlot,2010.0
1168,US,86,35.0,Bordeaux-style Red Blend,2011.0
1170,Argentina,86,24.0,Chardonnay,2013.0
1171,Germany,86,28.0,Riesling,2012.0
1172,US,86,52.0,Pinot Noir,2012.0
1173,US,86,48.0,Pinot Noir,2011.0
1174,Argentina,86,21.0,Merlot,2012.0
1177,Portugal,88,18.0,Rosé,2021.0
1178,Argentina,88,21.0,Cabernet Sauvignon,2020.0
1182,Australia,88,18.0,Sauvignon Blanc,2020.0
1186,France,88,19.0,Chardonnay,2020.0
1188,France,88,24.0,Chardonnay,2020.0
1189,France,88,40.0,Chardonnay,2020.0
1190,US,88,19.0,Chardonnay,2019.0
1191,France,88,29.0,Chardonnay,2020.0
1195,Argentina,87,23.0,Bordeaux-style Red Blend,2017.0
1196,US,87,25.0,Chardonnay,2020.0
1200,Germany,87,15.0,Riesling,2021.0
1201,France,87,24.0,Chardonnay,2020.0
1206,US,87,25.0,Chardonnay,2020.0
1210,US,93,42.0,Cabernet Sauvignon,2020.0
1211,US,93,65.0,Bordeaux-style Red Blend,2020.0
1212,US,93,41.0,Pinot Noir,2021.0
1213,US,93,40.0,Pinot Noir,2019.0
1214,US,93,36.0,Sauvignon Blanc,2022.0
1216,US,93,48.0,Syrah,2019.0
1219,US,93,55.0,Syrah,2019.0
1220,France,93,50.0,Bordeaux-style Red Blend,2015.0
1221,US,93,40.0,Pinot Noir,2021.0
1222,US,93,43.0,Syrah,2020.0
1226,US,93,37.0,Chardonnay,2021.0
1227,US,93,32.0,Pinot Noir,2021.0
1228,US,93,39.0,Pinot Noir,2021.0
1230,US,93,42.0,Pinot Noir,2021.0
1231,US,93,37.0,Red Blend,2020.0
1233,US,92,34.0,Pinot Noir,2021.0
1234,US,92,43.0,Pinot Noir,2020.0
1235,US,92,38.0,Red Blend,2020.0
1236,US,92,32.0,Chardonnay,2021.0
1238,France,88,21.0,Bordeaux-style Red Blend,2012.0
1240,France,88,56.0,Bordeaux-style Red Blend,2009.0
1241,US,88,24.0,Chardonnay,2013.0
1244,US,88,60.0,Bordeaux-style Red Blend,2011.0
1246,US,88,51.0,Cabernet Sauvignon,2011.0
1248,US,88,60.0,Red Blend,2011.0
1249,US,88,32.0,Red Blend,2011.0
1251,Germany,88,31.0,Riesling,2013.0
1253,US,88,20.0,Chardonnay,2012.0
1254,US,88,22.0,Chardonnay,2013.0
1256,US,88,51.0,Cabernet Sauvignon,2011.0
1263,US,85,17.0,Riesling,2016.0
1264,US,85,37.0,Pinot Noir,2013.0
